epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.093,3.68051,3.73078,3.43627,0.00033,0.00661,0.00018,4e-05,3.88125,inf,3.22079,0.070411,0.00328767,0.00328767
2,311.048,2.56809,2.6158,2.40416,0.03377,0.16349,0.03748,0.01255,2.67392,inf,2.69858,0.0403891,0.00659916,0.00659916
3,445.322,2.00626,2.19496,1.95875,0.00898,0.03351,0.00475,0.00189,3.87057,inf,3.90283,0.0103453,0.00988864,0.00988864
4,567.73,1.6989,1.94757,1.70782,0.44334,0.22645,0.1448,0.07633,1.93231,inf,2.09213,0.009901,0.009901,0.009901
5,693.66,1.49636,1.72325,1.5482,0.16648,0.24716,0.20268,0.11437,1.60347,inf,1.72099,0.009868,0.009868,0.009868
6,818.619,1.3964,1.60157,1.46314,0.30628,0.25072,0.19239,0.10824,1.62674,inf,1.77637,0.009835,0.009835,0.009835
7,943.307,1.32243,1.48916,1.40437,0.34549,0.26315,0.24992,0.15765,1.27897,inf,1.42175,0.009802,0.009802,0.009802
8,1067.79,1.23986,1.39127,1.3427,0.37139,0.28779,0.28208,0.18192,1.21398,inf,1.36819,0.009769,0.009769,0.009769
9,1185.1,1.19616,1.33457,1.30954,0.3714,0.34918,0.29407,0.18859,1.21314,inf,1.36454,0.009736,0.009736,0.009736
10,1310.03,1.14956,1.28314,1.27947,0.32507,0.32942,0.26271,0.17192,1.17108,inf,1.33577,0.009703,0.009703,0.009703
11,1429.64,1.11772,1.24679,1.25202,0.17424,0.48779,0.26877,0.17154,1.19369,inf,1.32479,0.00967,0.00967,0.00967
12,1555.21,1.08834,1.19032,1.23395,0.38368,0.35162,0.29853,0.19587,1.14675,inf,1.31109,0.009637,0.009637,0.009637
13,1679.47,1.05425,1.1601,1.21288,0.4282,0.35735,0.34445,0.23639,1.01095,inf,1.19005,0.009604,0.009604,0.009604
14,1803.34,1.03126,1.11306,1.19715,0.41965,0.34031,0.33499,0.23135,0.99926,inf,1.18144,0.009571,0.009571,0.009571
15,1927.98,1.00927,1.0868,1.18054,0.64413,0.37751,0.36812,0.24963,1.07557,inf,1.235,0.009538,0.009538,0.009538
16,2047.79,0.99725,1.06393,1.17298,0.49543,0.39019,0.38827,0.25779,1.1205,inf,1.26915,0.009505,0.009505,0.009505
17,2169.67,0.9806,1.04503,1.1634,0.63057,0.40267,0.3954,0.27699,0.97856,inf,1.172,0.009472,0.009472,0.009472
18,2294.07,0.97686,1.03002,1.16277,0.62929,0.40031,0.37564,0.25992,1.01927,1.20375,1.20651,0.009439,0.009439,0.009439
19,2417.82,0.95616,0.99554,1.14825,0.63672,0.41025,0.40547,0.2781,0.99711,inf,1.18778,0.009406,0.009406,0.009406
20,2541.73,0.94508,0.98003,1.14529,0.6901,0.42815,0.45125,0.31919,0.92176,0.99544,1.1365,0.009373,0.009373,0.009373
21,2666.14,0.93792,0.96266,1.1333,0.43868,0.45496,0.44839,0.31893,0.90705,inf,1.12153,0.00934,0.00934,0.00934
22,2783.5,0.92803,0.95246,1.12992,0.48826,0.45514,0.44719,0.32454,0.88139,inf,1.10625,0.009307,0.009307,0.009307
23,2907.87,0.91877,0.93114,1.12519,0.4484,0.45727,0.44072,0.31526,0.86912,inf,1.09709,0.009274,0.009274,0.009274
24,3025.91,0.9105,0.90978,1.11977,0.38684,0.44347,0.40879,0.2894,0.9039,inf,1.1146,0.009241,0.009241,0.009241
25,3150.12,0.90571,0.89229,1.11232,0.47752,0.46027,0.45971,0.32365,0.91921,inf,1.12171,0.009208,0.009208,0.009208
26,3275.08,0.90177,0.87696,1.10798,0.65773,0.49063,0.49483,0.352,0.87407,0.94877,1.09498,0.009175,0.009175,0.009175
27,3399.51,0.89316,0.86777,1.10639,0.4883,0.49269,0.47457,0.33163,0.88802,inf,1.10493,0.009142,0.009142,0.009142
28,3524.23,0.8783,0.85391,1.09542,0.75548,0.51517,0.55154,0.39005,0.88198,0.84069,1.10301,0.009109,0.009109,0.009109
