epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.5865,4.82054,4.34017,3.89307,8e-05,0.00149,5e-05,1e-05,5.11771,4.20391,3.7387,0.0703333,0.0032963,0.0032963
2,60.6594,3.8304,3.65571,3.1907,0.01564,0.11341,0.01102,0.00315,3.20333,3.53713,2.76588,0.0402677,0.006564,0.006564
3,90.0985,3.3704,3.31316,2.70713,0.00336,0.01426,0.00128,0.00025,3.9525,inf,3.4116,0.0101361,0.0097657,0.0097657
4,119.386,3.00207,3.03928,2.54184,0.01012,0.02349,0.00568,0.0017,2.80948,inf,2.43035,0.009703,0.009703,0.009703
5,146.795,2.78849,2.69948,2.33594,0.03281,0.06425,0.02627,0.00952,3.26001,3.83817,2.66341,0.009604,0.009604,0.009604
6,171.202,2.55931,2.4755,2.19069,0.08605,0.14325,0.06953,0.0208,2.9137,2.59009,2.41897,0.009505,0.009505,0.009505
