epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,312.799,0.7765,0.60535,0.93882,0.81491,0.78987,0.85034,0.67227,0.63684,0.49806,0.8984,0.008581,0.008581,0.008581
45,341.12,0.77385,0.59834,0.9375,0.81093,0.80405,0.85912,0.67914,0.63378,0.4897,0.89838,0.008548,0.008548,0.008548
46,369.792,0.76778,0.59558,0.93559,0.80753,0.80178,0.85639,0.67446,0.62909,0.48975,0.89532,0.008515,0.008515,0.008515
47,397.466,0.76542,0.5947,0.93357,0.81471,0.79865,0.8563,0.67886,0.62943,0.49069,0.89474,0.008482,0.008482,0.008482
48,425.062,0.76516,0.59428,0.93314,0.81179,0.80495,0.85854,0.67795,0.63109,0.48654,0.89517,0.008449,0.008449,0.008449
49,453.007,0.76622,0.59577,0.9323,0.80913,0.80467,0.85574,0.67652,0.62968,0.48715,0.89417,0.008416,0.008416,0.008416
50,481.085,0.7638,0.59316,0.93133,0.81427,0.81245,0.86432,0.68427,0.63098,0.48153,0.89482,0.008383,0.008383,0.008383
51,508.713,0.75852,0.58632,0.93058,0.82243,0.80427,0.86116,0.68352,0.62321,0.48372,0.89168,0.00835,0.00835,0.00835
52,536.811,0.75857,0.58543,0.9289,0.8161,0.80353,0.86127,0.6825,0.62852,0.48771,0.8934,0.008317,0.008317,0.008317
53,564.45,0.75961,0.58489,0.93104,0.81857,0.81603,0.86662,0.69059,0.62097,0.47744,0.89018,0.008284,0.008284,0.008284
54,592.911,0.75226,0.58013,0.92705,0.82478,0.79972,0.86309,0.6865,0.62267,0.48198,0.89107,0.008251,0.008251,0.008251
55,620.67,0.75196,0.57939,0.92637,0.8283,0.79453,0.8643,0.68729,0.62258,0.4764,0.88994,0.008218,0.008218,0.008218
56,648.429,0.75521,0.58142,0.92821,0.81357,0.81952,0.86963,0.6929,0.62075,0.47579,0.88986,0.008185,0.008185,0.008185
57,676.209,0.75328,0.57859,0.92643,0.81866,0.82843,0.87095,0.6953,0.61557,0.47038,0.88822,0.008152,0.008152,0.008152
58,703.925,0.75299,0.58076,0.92557,0.82863,0.81096,0.8682,0.69028,0.61717,0.47605,0.88842,0.008119,0.008119,0.008119
59,731.927,0.73985,0.56595,0.92248,0.82949,0.81056,0.86803,0.69136,0.61879,0.46919,0.88915,0.008086,0.008086,0.008086
60,759.567,0.7442,0.57221,0.92234,0.82031,0.81425,0.8721,0.69856,0.61553,0.464,0.88765,0.008053,0.008053,0.008053
61,787.47,0.74103,0.56552,0.9233,0.81432,0.82192,0.87087,0.69701,0.61458,0.46608,0.88685,0.00802,0.00802,0.00802
62,815.213,0.74568,0.57169,0.92366,0.8268,0.81863,0.87124,0.70061,0.61227,0.46227,0.88614,0.007987,0.007987,0.007987
63,843.923,0.73939,0.56402,0.91965,0.82828,0.8194,0.87322,0.70036,0.61126,0.46384,0.88571,0.007954,0.007954,0.007954
