epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.9649,1.48498,3.27687,1.17163,0.93975,0.12085,0.14624,0.09622,1.19387,2.67567,1.06687,0.0703333,0.0032963,0.0032963
2,61.0074,1.3581,2.03225,1.13421,0.43346,0.39115,0.24962,0.1564,1.30935,1.76658,1.12385,0.0402677,0.006564,0.006564
3,88.2484,1.35733,1.87696,1.12765,0.40735,0.62087,0.31408,0.20685,1.26395,1.67077,1.12319,0.0101361,0.0097657,0.0097657
4,115.968,1.31597,1.76826,1.12028,0.44166,0.69164,0.35365,0.24183,1.20585,1.96838,1.10593,0.009703,0.009703,0.009703
5,143.301,1.27005,1.64946,1.09036,0.51721,0.43146,0.39127,0.25855,1.20727,1.51233,1.08691,0.009604,0.009604,0.009604
6,170.551,1.2718,1.57432,1.09066,0.47114,0.46514,0.43842,0.29259,1.1434,1.55145,1.07274,0.009505,0.009505,0.009505
7,197.219,1.24718,1.55658,1.0685,0.50181,0.56502,0.51005,0.35572,1.11505,1.37816,1.03766,0.009406,0.009406,0.009406
8,221.216,1.18955,1.47319,1.0445,0.58562,0.50401,0.50389,0.35562,1.11506,1.44824,1.04035,0.009307,0.009307,0.009307
9,245.079,1.20081,1.41349,1.04787,0.45519,0.56525,0.54756,0.38532,1.11679,1.33852,1.0328,0.009208,0.009208,0.009208
10,268.939,1.18385,1.36933,1.03172,0.56461,0.54312,0.53876,0.37875,1.12639,1.47862,1.04487,0.009109,0.009109,0.009109
11,292.911,1.1624,1.35381,1.03665,0.55909,0.53584,0.52401,0.36776,1.10847,1.49233,1.0449,0.00901,0.00901,0.00901
12,319.574,1.14504,1.30292,1.03291,0.66023,0.57521,0.59573,0.4172,1.11284,1.23307,1.0444,0.008911,0.008911,0.008911
13,343.313,1.16027,1.26815,1.0184,0.50592,0.60557,0.60633,0.43571,1.05819,1.26067,1.01802,0.008812,0.008812,0.008812
14,366.909,1.1418,1.2492,1.01839,0.54885,0.57353,0.61212,0.44152,1.09589,1.13686,1.03744,0.008713,0.008713,0.008713
15,390.753,1.11003,1.22357,1.02127,0.62504,0.60206,0.62762,0.45702,1.04025,1.10761,1.01254,0.008614,0.008614,0.008614
16,414.435,1.12125,1.21171,1.01373,0.51269,0.70434,0.63594,0.46512,1.04669,1.18556,1.01485,0.008515,0.008515,0.008515
17,438.08,1.1112,1.18222,1.00192,0.62888,0.64006,0.64296,0.46838,1.04774,1.06185,1.00647,0.008416,0.008416,0.008416
18,461.603,1.10524,1.159,1.00193,0.57097,0.72459,0.6523,0.48219,1.04404,1.05326,1.00546,0.008317,0.008317,0.008317
19,485.642,1.10621,1.15916,1.00141,0.6226,0.6325,0.65181,0.47809,1.03275,1.03218,1.00375,0.008218,0.008218,0.008218
