epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.6676,5.21725,4.65771,4.20069,1e-05,0.00061,0,0,5.53554,inf,4.0296,0.070411,0.00328767,0.00328767
2,56.3848,4.48676,4.27755,3.70183,0.00767,0.05715,0.00512,0.0015,3.57702,inf,3.04367,0.0403891,0.00659916,0.00659916
3,83.5168,2.44272,2.44583,2.11243,0.0055,0.02385,0.00269,0.00051,4.81182,inf,11.3072,0.0103453,0.00988864,0.00988864
4,115.651,1.95532,2.10422,1.70485,0.16217,0.11624,0.01634,0.00568,3.02191,inf,3.29539,0.009901,0.009901,0.009901
5,139.718,1.77763,1.91599,1.57015,0.17426,0.04758,0.01538,0.00482,3.95063,3.45925,4.97733,0.009868,0.009868,0.009868
6,162.945,1.60696,1.74901,1.44019,0.26247,0.18075,0.12173,0.06228,2.00884,inf,1.81076,0.009835,0.009835,0.009835
7,185.903,1.51008,1.65784,1.3884,0.29965,0.21048,0.16967,0.08811,1.91098,inf,1.7252,0.009802,0.009802,0.009802
8,208.644,1.42748,1.54832,1.33518,0.32046,0.20719,0.18289,0.09537,1.90171,inf,1.75812,0.009769,0.009769,0.009769
9,231.684,1.37291,1.46861,1.29853,0.33181,0.25412,0.20115,0.11289,1.66533,inf,1.52368,0.009736,0.009736,0.009736
10,254.766,1.33174,1.43513,1.27204,0.34216,0.32184,0.23906,0.13471,1.54678,1.49425,1.47536,0.009703,0.009703,0.009703
11,277.675,1.27468,1.37853,1.23336,0.35874,0.32567,0.26396,0.16346,1.34357,inf,1.29726,0.00967,0.00967,0.00967
12,300.436,1.23246,1.33448,1.20924,0.35553,0.35125,0.28259,0.17807,1.23226,1.28125,1.23373,0.009637,0.009637,0.009637
13,323.203,1.19709,1.29265,1.1878,0.36405,0.38189,0.27182,0.17186,1.25669,inf,1.22944,0.009604,0.009604,0.009604
14,346.203,1.17634,1.26989,1.18069,0.37448,0.34939,0.29121,0.19048,1.13156,inf,1.16016,0.009571,0.009571,0.009571
15,369.078,1.15164,1.23473,1.16262,0.46398,0.36871,0.30169,0.1869,1.26176,1.22439,1.23982,0.009538,0.009538,0.009538
16,391.872,1.13186,1.19564,1.14588,0.49928,0.34941,0.31932,0.208,1.1607,1.19914,1.16774,0.009505,0.009505,0.009505
17,414.552,1.10729,1.1757,1.13449,0.51024,0.34394,0.34078,0.2211,1.1688,1.20886,1.16931,0.009472,0.009472,0.009472
18,437.171,1.09375,1.15577,1.1282,0.4928,0.36638,0.33469,0.21952,1.14724,1.20799,1.15692,0.009439,0.009439,0.009439
19,460.003,1.0765,1.13386,1.12432,0.41982,0.32591,0.30434,0.20383,1.10659,inf,1.13038,0.009406,0.009406,0.009406
20,483.174,1.05311,1.10823,1.10891,0.61883,0.37654,0.35492,0.24057,1.05299,1.19008,1.11141,0.009373,0.009373,0.009373
21,506.018,1.04573,1.09014,1.10409,0.55518,0.34025,0.31116,0.21234,1.0634,inf,1.10916,0.00934,0.00934,0.00934
22,528.491,1.0416,1.07789,1.10208,0.47325,0.36139,0.34131,0.22871,1.08004,inf,1.12231,0.009307,0.009307,0.009307
23,551.047,1.01861,1.045,1.08881,0.36144,0.37706,0.33638,0.23166,1.05603,inf,1.10075,0.009274,0.009274,0.009274
24,573.424,1.0099,1.02638,1.08641,0.28114,0.34227,0.31951,0.22525,1.02655,inf,1.08782,0.009241,0.009241,0.009241
25,596.214,1.00437,1.01777,1.0822,0.35982,0.37776,0.33001,0.21723,1.15477,inf,1.16512,0.009208,0.009208,0.009208
26,618.999,0.99354,0.98957,1.07659,0.38908,0.43334,0.37958,0.26082,1.04893,inf,1.11196,0.009175,0.009175,0.009175
27,641.54,0.98534,0.97502,1.06919,0.39788,0.45333,0.41865,0.28359,1.03857,inf,1.09582,0.009142,0.009142,0.009142
28,664.57,0.98343,0.9672,1.06854,0.65063,0.47283,0.47034,0.31777,1.0209,0.91243,1.09222,0.009109,0.009109,0.009109
29,687.182,0.97272,0.94172,1.06152,0.63178,0.45861,0.45791,0.30657,1.05634,0.91252,1.11602,0.009076,0.009076,0.009076
30,709.904,0.96725,0.94044,1.0608,0.60484,0.48462,0.45291,0.30152,1.03964,0.91525,1.10658,0.009043,0.009043,0.009043
31,732.641,0.95829,0.92159,1.05493,0.49513,0.51731,0.49254,0.32822,0.99883,0.91557,1.0818,0.00901,0.00901,0.00901
32,755.522,0.94941,0.91587,1.0518,0.56522,0.43993,0.42364,0.29871,0.96129,inf,1.06079,0.008977,0.008977,0.008977
33,778.473,0.94469,0.89711,1.04952,0.64478,0.5221,0.51467,0.34954,0.95341,0.90582,1.05246,0.008944,0.008944,0.008944
34,801.329,0.93781,0.88586,1.04126,0.53058,0.53118,0.5133,0.35644,0.92582,0.89628,1.0382,0.008911,0.008911,0.008911
35,823.894,0.93325,0.88535,1.04158,0.45522,0.53305,0.48402,0.33384,0.93829,inf,1.04094,0.008878,0.008878,0.008878
36,846.993,0.92553,0.86852,1.03554,0.52266,0.51631,0.50909,0.35049,0.93967,0.8723,1.04032,0.008845,0.008845,0.008845
37,869.758,0.92356,0.85486,1.03674,0.5263,0.49201,0.50448,0.35162,0.91592,0.87775,1.02799,0.008812,0.008812,0.008812
38,892.436,0.91941,0.83923,1.03345,0.58128,0.55379,0.54423,0.37503,0.9019,0.8898,1.02295,0.008779,0.008779,0.008779
39,914.951,0.91855,0.85042,1.03263,0.46127,0.55229,0.50259,0.35618,0.86088,inf,1.005,0.008746,0.008746,0.008746
40,937.798,0.90378,0.83518,1.02682,0.51885,0.56378,0.54187,0.38175,0.87093,0.90475,1.00604,0.008713,0.008713,0.008713
41,961.046,0.89775,0.82008,1.02391,0.49565,0.56579,0.53653,0.37825,0.84813,inf,0.99444,0.00868,0.00868,0.00868
42,983.89,0.89219,0.8165,1.01954,0.49298,0.55535,0.52593,0.37069,0.89045,inf,1.01299,0.008647,0.008647,0.008647
43,1006.72,0.89141,0.81037,1.01659,0.48939,0.55112,0.5175,0.37091,0.85776,inf,0.99822,0.008614,0.008614,0.008614
44,1029.42,0.88762,0.80102,1.01638,0.4963,0.59146,0.55687,0.39011,0.87109,0.90321,1.00263,0.008581,0.008581,0.008581
45,1052.15,0.87641,0.78973,1.01437,0.48463,0.56264,0.52924,0.37338,0.8979,inf,1.01196,0.008548,0.008548,0.008548
46,1074.88,0.88301,0.79398,1.0146,0.49652,0.5656,0.53926,0.38097,0.84712,inf,0.99175,0.008515,0.008515,0.008515
47,1097.73,0.87903,0.79077,1.01423,0.47869,0.56754,0.53292,0.37739,0.82524,inf,0.98252,0.008482,0.008482,0.008482
48,1120.43,0.87061,0.7788,1.00621,0.49232,0.58638,0.55831,0.39952,0.8321,0.86388,0.98403,0.008449,0.008449,0.008449
49,1143.07,0.87197,0.77506,1.0109,0.51269,0.59792,0.57937,0.41152,0.83925,0.81987,0.98611,0.008416,0.008416,0.008416
50,1165.82,0.86927,0.77314,1.00807,0.55491,0.62378,0.61535,0.43863,0.80757,0.79976,0.97466,0.008383,0.008383,0.008383
51,1188.43,0.86769,0.76478,1.00532,0.52506,0.60125,0.59487,0.42414,0.80583,0.77105,0.97226,0.00835,0.00835,0.00835
52,1210.9,0.85966,0.75951,1.00213,0.57912,0.62918,0.63138,0.45316,0.82372,0.72077,0.97982,0.008317,0.008317,0.008317
53,1233.89,0.85898,0.7582,1.0031,0.57998,0.59631,0.61183,0.44173,0.79778,0.76117,0.96788,0.008284,0.008284,0.008284
54,1256.71,0.85479,0.7395,0.99858,0.6062,0.60959,0.63187,0.45735,0.80372,0.72453,0.96961,0.008251,0.008251,0.008251
55,1279.44,0.85115,0.7418,0.99875,0.59711,0.65219,0.66408,0.48575,0.80845,0.6889,0.97081,0.008218,0.008218,0.008218
56,1302.37,0.84646,0.73213,0.99896,0.61764,0.66628,0.66827,0.48475,0.79602,0.68987,0.96744,0.008185,0.008185,0.008185
57,1324.93,0.84881,0.72995,0.99595,0.62715,0.6395,0.67035,0.49056,0.78678,0.689,0.96345,0.008152,0.008152,0.008152
58,1347.9,0.84753,0.72245,0.99845,0.66942,0.64978,0.68124,0.49931,0.79782,0.69681,0.96665,0.008119,0.008119,0.008119
59,1370.71,0.84222,0.71837,0.9939,0.66609,0.6603,0.68371,0.50366,0.79698,0.68289,0.9658,0.008086,0.008086,0.008086
60,1393.03,0.84416,0.72459,0.99564,0.69299,0.65813,0.69965,0.51357,0.77855,0.67096,0.96143,0.008053,0.008053,0.008053
61,1415.6,0.83747,0.71641,0.9913,0.64987,0.64905,0.6809,0.49358,0.8154,0.68424,0.97413,0.00802,0.00802,0.00802
62,1437.84,0.83647,0.71834,0.99268,0.68862,0.65192,0.6918,0.50743,0.78481,0.6674,0.96112,0.007987,0.007987,0.007987
63,1460.48,0.83308,0.70186,0.98893,0.68519,0.64539,0.68362,0.50124,0.779,0.70025,0.9591,0.007954,0.007954,0.007954
64,1483.14,0.83548,0.71451,0.9893,0.7012,0.63203,0.6918,0.50444,0.78496,0.65429,0.96211,0.007921,0.007921,0.007921
65,1505.7,0.8303,0.70586,0.98751,0.67723,0.67227,0.70597,0.51617,0.77527,0.68002,0.95751,0.007888,0.007888,0.007888
66,1528.46,0.8287,0.70037,0.98761,0.7,0.65292,0.70879,0.51952,0.78694,0.66759,0.95851,0.007855,0.007855,0.007855
67,1551.12,0.83761,0.70811,0.99023,0.73043,0.62044,0.70166,0.51015,0.76166,0.65361,0.95196,0.007822,0.007822,0.007822
68,1573.46,0.83083,0.70141,0.98871,0.67673,0.66702,0.71448,0.51631,0.77778,0.65023,0.95406,0.007789,0.007789,0.007789
69,1595.96,0.82551,0.69234,0.98673,0.6714,0.66745,0.7093,0.52452,0.75961,0.66348,0.95093,0.007756,0.007756,0.007756
70,1618.45,0.8385,0.70736,0.99155,0.66068,0.65935,0.69847,0.52125,0.75998,0.68448,0.94952,0.007723,0.007723,0.007723
71,1640.61,0.82,0.69418,0.98425,0.71229,0.63815,0.70494,0.52701,0.74611,0.66365,0.9447,0.00769,0.00769,0.00769
72,1663.38,0.82806,0.69773,0.9854,0.68762,0.69158,0.73088,0.54727,0.73232,0.62107,0.93949,0.007657,0.007657,0.007657
73,1686.35,0.81926,0.68715,0.98266,0.71273,0.68228,0.72786,0.54314,0.73836,0.61695,0.94138,0.007624,0.007624,0.007624
74,1709.38,0.81742,0.67929,0.98256,0.68296,0.68169,0.72511,0.53916,0.7319,0.61527,0.93958,0.007591,0.007591,0.007591
75,1732.08,0.81261,0.67991,0.97964,0.68334,0.683,0.72548,0.54458,0.7219,0.63933,0.93713,0.007558,0.007558,0.007558
76,1754.58,0.81808,0.69117,0.9851,0.66245,0.68571,0.71851,0.5332,0.73698,0.63016,0.94066,0.007525,0.007525,0.007525
77,1777.13,0.82181,0.68968,0.98396,0.67613,0.68843,0.7244,0.53923,0.7371,0.61492,0.93948,0.007492,0.007492,0.007492
78,1799.81,0.81307,0.67607,0.9799,0.68819,0.6876,0.72816,0.54464,0.72208,0.6427,0.93473,0.007459,0.007459,0.007459
