epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.1362,8.24747,8.75744,7.09919,0.00011,0.00218,6e-05,1e-05,7.74503,inf,5.87677,0.070411,0.00328767,0.00328767
2,85.5717,5.31437,6.22485,4.46654,0.02945,0.13693,0.02815,0.01065,5.0062,inf,4.15092,0.0403891,0.00659916,0.00659916
3,120.094,4.22734,4.8538,3.50495,0.01925,0.04512,0.01585,0.00757,6.89891,inf,7.94947,0.0103453,0.00988864,0.00988864
4,156.195,3.51554,4.12995,3.04596,0.2404,0.09498,0.05881,0.02588,4.73147,inf,4.09366,0.009901,0.009901,0.009901
5,192.736,3.21492,3.67045,2.84698,0.33124,0.17497,0.1661,0.09426,3.25388,inf,2.96292,0.009868,0.009868,0.009868
6,229.658,2.95492,3.31434,2.65379,0.3275,0.23386,0.20747,0.13026,2.8116,inf,2.64432,0.009835,0.009835,0.009835
7,266.499,2.78798,3.08366,2.57218,0.35297,0.2011,0.20919,0.12727,2.93468,inf,2.70164,0.009802,0.009802,0.009802
8,303.269,2.63217,2.85314,2.47654,0.35486,0.29796,0.24501,0.15228,2.74137,inf,2.59892,0.009769,0.009769,0.009769
9,339.825,2.53816,2.68368,2.41482,0.37582,0.25581,0.25737,0.16957,2.53496,inf,2.46422,0.009736,0.009736,0.009736
10,376.725,2.48143,2.60444,2.3833,0.39578,0.28533,0.28359,0.18155,2.58348,inf,2.49114,0.009703,0.009703,0.009703
11,413.378,2.41743,2.51615,2.33769,0.41003,0.3126,0.29532,0.19046,2.47206,inf,2.43642,0.00967,0.00967,0.00967
12,450.231,2.36544,2.39293,2.30915,0.4527,0.36677,0.34061,0.22408,2.33867,2.27864,2.35039,0.009637,0.009637,0.009637
13,487.164,2.31183,2.30927,2.27842,0.45549,0.31502,0.3151,0.20366,2.5705,2.43421,2.45575,0.009604,0.009604,0.009604
14,523.932,2.26585,2.2417,2.26086,0.60361,0.39442,0.36114,0.2397,2.30938,2.13007,2.3559,0.009571,0.009571,0.009571
15,559.656,2.21903,2.17104,2.23059,0.60526,0.37519,0.35674,0.24368,2.20636,inf,2.27094,0.009538,0.009538,0.009538
16,595.253,2.17283,2.11284,2.20056,0.61163,0.37918,0.36671,0.25464,2.11851,2.13876,2.19532,0.009505,0.009505,0.009505
17,630.775,2.14415,2.06512,2.18315,0.64285,0.4034,0.4013,0.26885,2.24427,1.99841,2.28427,0.009472,0.009472,0.009472
18,666.279,2.13456,2.02709,2.17829,0.64359,0.42006,0.39591,0.27154,2.10822,1.9009,2.18375,0.009439,0.009439,0.009439
19,701.578,2.09615,2.01398,2.16953,0.63611,0.40686,0.37975,0.2638,2.05402,2.03591,2.17529,0.009406,0.009406,0.009406
20,736.538,2.06213,1.92334,2.14872,0.66566,0.43811,0.43062,0.29244,2.11535,1.85252,2.19471,0.009373,0.009373,0.009373
21,771.937,2.0472,1.92153,2.13913,0.69238,0.42853,0.44095,0.30742,1.98471,1.84391,2.13473,0.00934,0.00934,0.00934
22,807.848,2.0111,1.87433,2.12157,0.66658,0.42102,0.40897,0.27504,2.16585,1.9741,2.26992,0.009307,0.009307,0.009307
23,844.785,1.98698,1.82675,2.11128,0.48034,0.40054,0.37684,0.26678,1.97375,inf,2.12863,0.009274,0.009274,0.009274
24,881.158,1.95769,1.80746,2.09967,0.36246,0.43628,0.42409,0.29467,1.96101,inf,2.11634,0.009241,0.009241,0.009241
25,917.039,1.95416,1.77176,2.09626,0.59745,0.41187,0.40123,0.28578,1.95802,inf,2.11529,0.009208,0.009208,0.009208
26,953.859,1.93962,1.75935,2.08545,0.66165,0.43977,0.4355,0.30266,1.96645,inf,2.12968,0.009175,0.009175,0.009175
27,990.485,1.91564,1.72085,2.07156,0.46012,0.46929,0.44149,0.3038,2.0196,inf,2.13685,0.009142,0.009142,0.009142
28,1027.21,1.91338,1.71748,2.07382,0.39984,0.41845,0.40349,0.29044,1.87956,inf,2.08322,0.009109,0.009109,0.009109
29,1063.56,1.89083,1.69086,2.06008,0.4453,0.48037,0.45837,0.32764,1.84593,inf,2.06604,0.009076,0.009076,0.009076
30,1098.85,1.86654,1.67236,2.05227,0.43994,0.4833,0.45701,0.32828,1.84666,inf,2.05511,0.009043,0.009043,0.009043
31,1134.77,1.85218,1.63205,2.04511,0.41604,0.4652,0.44946,0.32287,1.84372,inf,2.05816,0.00901,0.00901,0.00901
32,1170.16,1.8308,1.60696,2.03623,0.46416,0.49773,0.4826,0.34268,1.82425,inf,2.04752,0.008977,0.008977,0.008977
33,1205.2,1.81932,1.58693,2.03058,0.49756,0.50141,0.48754,0.3521,1.77303,inf,2.01853,0.008944,0.008944,0.008944
34,1240.8,1.8244,1.61772,2.02532,0.45708,0.52243,0.48474,0.35015,1.78261,inf,2.01941,0.008911,0.008911,0.008911
35,1276.05,1.81407,1.57644,2.02529,0.44499,0.48397,0.47458,0.33967,1.77709,inf,2.01237,0.008878,0.008878,0.008878
36,1311.45,1.80397,1.56401,2.01691,0.49063,0.54293,0.52257,0.38012,1.73181,inf,1.99082,0.008845,0.008845,0.008845
37,1346.63,1.8047,1.55348,2.02213,0.50063,0.56132,0.53522,0.39036,1.69247,inf,1.97505,0.008812,0.008812,0.008812
38,1382.59,1.79554,1.52453,2.01367,0.50032,0.55198,0.53388,0.38441,1.76578,inf,2.00466,0.008779,0.008779,0.008779
39,1418.75,1.80541,1.52545,2.01546,0.51989,0.59277,0.57333,0.4174,1.65736,1.6365,1.95585,0.008746,0.008746,0.008746
40,1454.96,1.77371,1.50258,2.0072,0.55694,0.61375,0.60358,0.43887,1.67814,1.45215,1.96797,0.008713,0.008713,0.008713
41,1490.82,1.76506,1.45499,2.00283,0.5545,0.62131,0.61171,0.45218,1.64413,1.39156,1.94888,0.00868,0.00868,0.00868
42,1526.69,1.76231,1.45413,1.99888,0.54271,0.61837,0.59146,0.42815,1.65683,1.45739,1.9524,0.008647,0.008647,0.008647
43,1562.8,1.76058,1.45096,1.99326,0.54982,0.62226,0.61044,0.44876,1.62661,1.45882,1.9396,0.008614,0.008614,0.008614
44,1599.04,1.75131,1.43729,1.99048,0.57749,0.6246,0.62312,0.44649,1.7508,1.50581,1.98314,0.008581,0.008581,0.008581
45,1634.62,1.73962,1.4144,1.9934,0.58482,0.64315,0.63487,0.46211,1.65402,1.44784,1.95228,0.008548,0.008548,0.008548
46,1669.67,1.74079,1.41997,1.98731,0.60235,0.6312,0.62192,0.4568,1.64749,1.44663,1.9519,0.008515,0.008515,0.008515
47,1704.84,1.72995,1.40604,1.98527,0.57339,0.6342,0.62925,0.45989,1.64341,1.48376,1.94829,0.008482,0.008482,0.008482
48,1740.01,1.7131,1.38736,1.96884,0.59765,0.63667,0.64167,0.47212,1.65002,1.36986,1.95083,0.008449,0.008449,0.008449
49,1774.33,1.71389,1.36582,1.97653,0.61702,0.64688,0.6599,0.49143,1.63747,1.34088,1.94529,0.008416,0.008416,0.008416
50,1809.03,1.69524,1.35498,1.9679,0.58499,0.6626,0.65778,0.48241,1.59838,1.33353,1.9319,0.008383,0.008383,0.008383
51,1843.88,1.70487,1.35769,1.96568,0.59717,0.64451,0.64994,0.4701,1.66051,1.4024,1.95586,0.00835,0.00835,0.00835
52,1879.04,1.69321,1.35664,1.96037,0.63138,0.63617,0.65994,0.48033,1.65242,1.2813,1.95082,0.008317,0.008317,0.008317
53,1914.28,1.67497,1.32507,1.95536,0.59487,0.65701,0.66142,0.49184,1.60083,1.35123,1.93063,0.008284,0.008284,0.008284
