epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.014,4.9578,4.48871,3.9776,1e-05,0.00092,0,0,4.5633,inf,3.36325,0.070411,0.00328767,0.00328767
2,84.631,2.87758,2.74336,2.50822,0.01085,0.05839,0.00817,0.0022,3.75457,inf,3.56543,0.0403891,0.00659916,0.00659916
3,122.454,2.04887,2.11025,1.77692,0.04624,0.09606,0.0377,0.01422,2.62043,inf,2.42957,0.0103453,0.00988864,0.00988864
4,154.503,1.74562,1.8848,1.55695,0.54377,0.0785,0.08401,0.0426,2.34585,inf,2.18978,0.009901,0.009901,0.009901
5,184.17,1.57536,1.70729,1.43672,0.29028,0.19162,0.1698,0.07976,1.98288,inf,1.88651,0.009868,0.009868,0.009868
6,213.113,1.43154,1.57996,1.33041,0.49416,0.1942,0.19292,0.1073,1.65815,inf,1.55831,0.009835,0.009835,0.009835
7,242.289,1.34932,1.48503,1.28876,0.09146,0.65407,0.23848,0.14671,1.3759,inf,1.30615,0.009802,0.009802,0.009802
8,270.59,1.26892,1.39783,1.23812,0.36924,0.27851,0.2427,0.14826,1.43342,inf,1.3818,0.009769,0.009769,0.009769
9,299.281,1.2164,1.33194,1.20446,0.37794,0.34567,0.27319,0.18518,1.18834,inf,1.19744,0.009736,0.009736,0.009736
10,328.604,1.18324,1.29408,1.18524,0.3737,0.36279,0.28792,0.19515,1.13126,inf,1.16535,0.009703,0.009703,0.009703
11,357.831,1.14865,1.24288,1.16057,0.36122,0.34951,0.28218,0.18518,1.17532,inf,1.18708,0.00967,0.00967,0.00967
12,386.499,1.12887,1.20227,1.15004,0.4239,0.33454,0.31524,0.20668,1.23185,1.25088,1.22682,0.009637,0.009637,0.009637
13,415.343,1.09961,1.15951,1.13397,0.4302,0.36078,0.32128,0.19793,1.27314,1.26308,1.24389,0.009604,0.009604,0.009604
14,443.833,1.0722,1.1346,1.12157,0.44098,0.46338,0.38517,0.25376,1.05494,inf,1.12293,0.009571,0.009571,0.009571
15,472.824,1.05161,1.09459,1.10704,0.57171,0.40751,0.36483,0.2414,1.03589,inf,1.1207,0.009538,0.009538,0.009538
16,501.185,1.02593,1.05571,1.09054,0.63992,0.42158,0.42309,0.28342,1.01568,inf,1.09046,0.009505,0.009505,0.009505
17,529.507,1.00942,1.03015,1.08164,0.56524,0.36606,0.35046,0.23654,1.05658,inf,1.10719,0.009472,0.009472,0.009472
18,558.275,0.99772,1.00958,1.07514,0.6758,0.43265,0.44102,0.28916,1.05847,1.00256,1.11526,0.009439,0.009439,0.009439
19,587.592,0.98286,0.98815,1.07382,0.67675,0.39957,0.4192,0.28221,0.99985,inf,1.08636,0.009406,0.009406,0.009406
20,616.302,0.96578,0.96411,1.06222,0.64848,0.39909,0.40282,0.26849,1.00528,inf,1.08423,0.009373,0.009373,0.009373
21,645.313,0.95739,0.95534,1.05718,0.63091,0.36862,0.3733,0.2641,0.94552,inf,1.05482,0.00934,0.00934,0.00934
22,673.806,0.94496,0.93448,1.05136,0.51352,0.43583,0.42771,0.30506,0.90563,inf,1.03255,0.009307,0.009307,0.009307
23,702.615,0.93037,0.90863,1.04264,0.42175,0.42564,0.40147,0.28862,0.88778,inf,1.01879,0.009274,0.009274,0.009274
24,731.232,0.92162,0.88896,1.03907,0.42662,0.44172,0.42013,0.3022,0.88494,inf,1.02079,0.009241,0.009241,0.009241
25,759.759,0.91144,0.87063,1.03387,0.65363,0.47742,0.47491,0.33932,0.88349,inf,1.01699,0.009208,0.009208,0.009208
26,788.038,0.91069,0.86299,1.033,0.60283,0.47727,0.48663,0.3481,0.88394,inf,1.02503,0.009175,0.009175,0.009175
27,816.656,0.90187,0.84477,1.02766,0.51721,0.47357,0.47123,0.33814,0.88759,inf,1.01492,0.009142,0.009142,0.009142
28,845.076,0.89589,0.83218,1.02641,0.70245,0.5017,0.52875,0.37289,0.88936,0.92763,1.02533,0.009109,0.009109,0.009109
29,873.775,0.88732,0.81979,1.01983,0.48682,0.51238,0.49642,0.34932,0.89547,inf,1.02471,0.009076,0.009076,0.009076
