epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,651.106,0.83335,0.74284,0.99424,0.54018,0.65468,0.63337,0.46257,0.77814,0.76417,0.9618,0.008548,0.008548,0.008548
46,664.665,0.83281,0.72958,0.99171,0.53424,0.61835,0.59453,0.43164,0.79734,inf,0.96997,0.008515,0.008515,0.008515
47,678.331,0.82832,0.72573,0.99022,0.55889,0.64726,0.63848,0.47111,0.7735,0.72848,0.95838,0.008482,0.008482,0.008482
48,691.873,0.82014,0.7161,0.98339,0.55234,0.65198,0.63589,0.46811,0.76836,0.76803,0.95713,0.008449,0.008449,0.008449
49,705.448,0.82796,0.71819,0.99018,0.57182,0.68948,0.66667,0.48194,0.7775,0.72922,0.95801,0.008416,0.008416,0.008416
50,719.194,0.82064,0.71267,0.98628,0.56849,0.66529,0.65149,0.47814,0.76484,0.76979,0.95557,0.008383,0.008383,0.008383
51,732.936,0.81885,0.70567,0.98234,0.62068,0.68829,0.68668,0.50794,0.75089,0.68482,0.9491,0.00835,0.00835,0.00835
52,746.475,0.81179,0.70489,0.97993,0.65642,0.67467,0.69722,0.51665,0.74406,0.6554,0.94585,0.008317,0.008317,0.008317
53,760.092,0.81262,0.70328,0.98049,0.61417,0.6779,0.68104,0.50118,0.74044,0.69119,0.94282,0.008284,0.008284,0.008284
54,773.529,0.80801,0.7005,0.97623,0.64235,0.67815,0.69703,0.51567,0.72701,0.65212,0.93863,0.008251,0.008251,0.008251
55,787.076,0.80467,0.68703,0.97563,0.6383,0.70216,0.69834,0.51736,0.72812,0.66597,0.93836,0.008218,0.008218,0.008218
56,800.585,0.79618,0.68494,0.97503,0.65036,0.69002,0.69978,0.52116,0.72724,0.66041,0.93821,0.008185,0.008185,0.008185
57,814.242,0.79778,0.68025,0.97261,0.66567,0.71199,0.72304,0.54202,0.72579,0.63956,0.93809,0.008152,0.008152,0.008152
58,827.743,0.79381,0.67763,0.97337,0.6427,0.71521,0.7107,0.53491,0.7358,0.69454,0.94124,0.008119,0.008119,0.008119
59,841.322,0.79786,0.6787,0.9732,0.68597,0.71565,0.73639,0.54957,0.72474,0.62889,0.93729,0.008086,0.008086,0.008086
60,854.864,0.79516,0.67786,0.97314,0.69346,0.70048,0.72804,0.54539,0.72134,0.61689,0.93597,0.008053,0.008053,0.008053
61,868.459,0.79233,0.67731,0.97005,0.69161,0.71333,0.73475,0.55189,0.71338,0.64575,0.93266,0.00802,0.00802,0.00802
62,881.894,0.79104,0.66322,0.97161,0.67516,0.72309,0.73523,0.55111,0.72181,0.63192,0.93751,0.007987,0.007987,0.007987
63,895.481,0.78824,0.6653,0.96797,0.67464,0.71798,0.7337,0.54933,0.71801,0.65696,0.93407,0.007954,0.007954,0.007954
64,908.976,0.78592,0.66942,0.96635,0.71186,0.71881,0.74889,0.55916,0.71433,0.62353,0.93227,0.007921,0.007921,0.007921
65,922.554,0.78443,0.65852,0.9663,0.68838,0.70276,0.73405,0.54702,0.71862,0.66402,0.93493,0.007888,0.007888,0.007888
66,936.061,0.78431,0.65667,0.96707,0.70945,0.7262,0.75815,0.56892,0.71483,0.59945,0.93094,0.007855,0.007855,0.007855
67,949.695,0.78676,0.65566,0.96746,0.70409,0.69856,0.7453,0.55825,0.71387,0.63922,0.93217,0.007822,0.007822,0.007822
68,963.111,0.78409,0.6568,0.96724,0.70393,0.72462,0.7604,0.56776,0.71656,0.60375,0.93202,0.007789,0.007789,0.007789
69,976.682,0.78269,0.65723,0.96777,0.68955,0.71984,0.74676,0.55898,0.70547,0.61757,0.9269,0.007756,0.007756,0.007756
70,990.127,0.7848,0.65012,0.96695,0.68908,0.72315,0.75024,0.56396,0.70754,0.60195,0.92891,0.007723,0.007723,0.007723
71,1003.68,0.77289,0.64525,0.96173,0.70144,0.72749,0.75567,0.57192,0.69273,0.59991,0.92217,0.00769,0.00769,0.00769
72,1017.12,0.77973,0.65461,0.96289,0.71508,0.73396,0.76846,0.57571,0.69205,0.57513,0.92303,0.007657,0.007657,0.007657
