epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,309.476,0.80944,0.69564,0.97772,0.6155,0.69043,0.69668,0.49715,0.81943,0.7469,0.97475,0.008548,0.008548,0.008548
46,326.309,0.80388,0.68083,0.9764,0.67021,0.70144,0.71833,0.51312,0.78342,0.71616,0.95983,0.008515,0.008515,0.008515
47,343.049,0.79867,0.67252,0.97358,0.64652,0.71611,0.71802,0.51959,0.78303,0.72296,0.95896,0.008482,0.008482,0.008482
48,360.053,0.80198,0.67164,0.97481,0.65236,0.7111,0.71766,0.52164,0.78272,0.72979,0.96069,0.008449,0.008449,0.008449
49,376.933,0.79747,0.67519,0.97064,0.67042,0.71916,0.73536,0.53363,0.77353,0.6585,0.95522,0.008416,0.008416,0.008416
50,393.73,0.7893,0.66402,0.97007,0.64828,0.71371,0.72201,0.53336,0.76154,0.65879,0.9506,0.008383,0.008383,0.008383
51,410.637,0.79528,0.66632,0.96874,0.70667,0.72424,0.75379,0.5575,0.77312,0.63679,0.95335,0.00835,0.00835,0.00835
52,427.43,0.78693,0.66251,0.96678,0.65978,0.7205,0.74134,0.55014,0.74603,0.62963,0.94435,0.008317,0.008317,0.008317
53,444.114,0.7841,0.65042,0.967,0.70574,0.7354,0.76308,0.56238,0.75732,0.61612,0.94741,0.008284,0.008284,0.008284
54,461.136,0.78518,0.64952,0.96955,0.69689,0.72276,0.74381,0.54579,0.7655,0.64278,0.9514,0.008251,0.008251,0.008251
55,477.731,0.78758,0.65209,0.96822,0.66548,0.7246,0.74377,0.55329,0.75974,0.63473,0.95006,0.008218,0.008218,0.008218
56,494.359,0.78971,0.65343,0.96843,0.69954,0.72792,0.74612,0.5521,0.76737,0.62831,0.95122,0.008185,0.008185,0.008185
57,511.064,0.7823,0.64733,0.96416,0.70958,0.73412,0.76201,0.563,0.73696,0.64158,0.9396,0.008152,0.008152,0.008152
58,527.729,0.78067,0.64609,0.96069,0.65799,0.7244,0.73621,0.54758,0.72077,0.63106,0.93489,0.008119,0.008119,0.008119
59,544.205,0.7799,0.64167,0.96389,0.69867,0.74554,0.76537,0.56873,0.7289,0.60581,0.93683,0.008086,0.008086,0.008086
60,560.952,0.77834,0.64636,0.96119,0.73347,0.73082,0.77178,0.57101,0.72289,0.58753,0.93289,0.008053,0.008053,0.008053
61,577.92,0.77266,0.63984,0.96126,0.69526,0.74273,0.76098,0.56656,0.7135,0.61629,0.92954,0.00802,0.00802,0.00802
62,594.719,0.77818,0.64316,0.96348,0.67557,0.73881,0.75447,0.56597,0.71572,0.61488,0.93068,0.007987,0.007987,0.007987
63,611.571,0.77323,0.63508,0.96206,0.72307,0.73698,0.76444,0.57276,0.71262,0.58846,0.9282,0.007954,0.007954,0.007954
64,628.171,0.77177,0.62965,0.95871,0.70181,0.72376,0.75804,0.5708,0.70078,0.62059,0.92485,0.007921,0.007921,0.007921
65,644.768,0.76804,0.62348,0.96012,0.69387,0.74556,0.76827,0.58025,0.70311,0.6578,0.92469,0.007888,0.007888,0.007888
66,661.51,0.76323,0.61864,0.9574,0.69037,0.71971,0.76015,0.56818,0.69398,0.64807,0.92163,0.007855,0.007855,0.007855
67,678.389,0.7609,0.62802,0.956,0.70521,0.75072,0.77631,0.58959,0.69107,0.61276,0.92067,0.007822,0.007822,0.007822
68,695.362,0.76368,0.62295,0.95715,0.70912,0.71208,0.76238,0.57544,0.69408,0.66439,0.92229,0.007789,0.007789,0.007789
69,712.246,0.75978,0.61585,0.95465,0.71463,0.73875,0.77539,0.58353,0.68916,0.60407,0.91885,0.007756,0.007756,0.007756
70,728.896,0.76324,0.61264,0.95641,0.72388,0.72696,0.77695,0.58955,0.68651,0.59536,0.9163,0.007723,0.007723,0.007723
71,745.542,0.7531,0.60426,0.95237,0.73447,0.72913,0.78049,0.59756,0.68146,0.59625,0.91534,0.00769,0.00769,0.00769
72,762.538,0.75474,0.60797,0.95441,0.70958,0.73204,0.77716,0.58979,0.68063,0.62014,0.91567,0.007657,0.007657,0.007657
73,779.843,0.76347,0.60958,0.95802,0.70198,0.74482,0.77588,0.58849,0.68092,0.60812,0.91489,0.007624,0.007624,0.007624
74,796.542,0.75444,0.60708,0.95226,0.73268,0.74814,0.79339,0.60811,0.68679,0.55881,0.91635,0.007591,0.007591,0.007591
75,813.306,0.74957,0.59802,0.95175,0.72947,0.76382,0.79903,0.61182,0.68091,0.58497,0.91367,0.007558,0.007558,0.007558
76,830.605,0.75005,0.59952,0.95228,0.7273,0.74426,0.79117,0.6007,0.6774,0.59036,0.9132,0.007525,0.007525,0.007525
77,847.789,0.7481,0.60186,0.95046,0.74452,0.76453,0.80693,0.61495,0.67156,0.55359,0.91122,0.007492,0.007492,0.007492
78,864.641,0.74449,0.59304,0.94977,0.72597,0.76108,0.79269,0.60254,0.67134,0.59507,0.91049,0.007459,0.007459,0.007459
79,881.937,0.74291,0.59195,0.9478,0.75416,0.75909,0.80567,0.6125,0.67074,0.57118,0.90937,0.007426,0.007426,0.007426
80,898.781,0.74311,0.59525,0.95041,0.72296,0.76615,0.80126,0.609,0.67342,0.57579,0.91186,0.007393,0.007393,0.007393
81,916.104,0.74297,0.59381,0.94757,0.74229,0.7788,0.81357,0.62321,0.66151,0.54413,0.90614,0.00736,0.00736,0.00736
82,933.155,0.73944,0.58783,0.94588,0.73682,0.75463,0.80237,0.61649,0.65531,0.54578,0.90553,0.007327,0.007327,0.007327
83,950.182,0.74067,0.58498,0.94584,0.75963,0.77174,0.81703,0.62419,0.65895,0.53884,0.90543,0.007294,0.007294,0.007294
84,967.506,0.74323,0.58338,0.94876,0.74768,0.74994,0.80054,0.61456,0.66514,0.55417,0.90785,0.007261,0.007261,0.007261
85,984.346,0.73827,0.58638,0.94539,0.74904,0.76574,0.81438,0.62422,0.66257,0.53861,0.90683,0.007228,0.007228,0.007228
86,1001.33,0.72896,0.5829,0.94386,0.77189,0.77108,0.82053,0.63604,0.65678,0.53477,0.90497,0.007195,0.007195,0.007195
87,1018.59,0.72849,0.57699,0.94076,0.77236,0.75997,0.815,0.62634,0.66162,0.53914,0.90578,0.007162,0.007162,0.007162
88,1035.69,0.72498,0.57365,0.94019,0.75915,0.77726,0.81882,0.63573,0.65091,0.52405,0.90167,0.007129,0.007129,0.007129
89,1052.92,0.72822,0.57474,0.9422,0.75772,0.77291,0.81909,0.64054,0.64809,0.52461,0.90136,0.007096,0.007096,0.007096
90,1069.69,0.7302,0.5782,0.94188,0.77126,0.77453,0.81993,0.63707,0.65422,0.52869,0.90305,0.007063,0.007063,0.007063
91,1086.69,0.72243,0.56845,0.93788,0.76944,0.7704,0.82749,0.64245,0.65199,0.53167,0.90107,0.00703,0.00703,0.00703
92,1103.87,0.72347,0.56885,0.93731,0.77945,0.76417,0.82619,0.64584,0.65064,0.52228,0.90087,0.006997,0.006997,0.006997
93,1120.61,0.72363,0.5711,0.93801,0.76739,0.77867,0.82385,0.6429,0.64316,0.5188,0.89944,0.006964,0.006964,0.006964
94,1137.47,0.72043,0.57036,0.93549,0.77877,0.79368,0.84019,0.65994,0.63981,0.50832,0.89704,0.006931,0.006931,0.006931
95,1154.87,0.72291,0.56905,0.9391,0.78318,0.78414,0.83762,0.65448,0.64264,0.50413,0.89808,0.006898,0.006898,0.006898
96,1171.73,0.72384,0.56803,0.94026,0.78738,0.77267,0.83216,0.65182,0.63753,0.52056,0.89681,0.006865,0.006865,0.006865
97,1188.74,0.71965,0.56318,0.93759,0.77074,0.79658,0.83481,0.65451,0.6368,0.50626,0.89631,0.006832,0.006832,0.006832
98,1205.86,0.72219,0.56794,0.93672,0.78308,0.78167,0.84193,0.66208,0.6388,0.50173,0.89589,0.006799,0.006799,0.006799
